Country,Life expectancy
San Marino,85.4
Japan,84.2
Switzerland,83.6
Spain,83.3
Singapore,83.1
Liechtenstein,83.0
Italy,82.9
Israel,82.8
Norway,82.8
Iceland,82.7
Australia,82.7
South Korea,82.6
France,82.5
Sweden,82.5
Republic of Ireland,82.3
Malta,82.3
Luxembourg,82.1
New Zealand,81.9
Canada,81.9
Netherlands,81.8
Finland,81.7
Belgium,81.6
Austria,81.6
Portugal,81.3
United Kingdom,81.3
Greece,81.3
Slovenia,81.0
Denmark,81.0
Germany,80.9
Cyprus,80.8
Costa Rica,80.1
Qatar,80.1
Chile,80.0
Barbados,79.1
Czech Republic,79.0
Lebanon,78.9
Cuba,78.7
Maldives,78.6
United States,78.5
Albania,78.5
Panama,78.3
Estonia,78.2
Croatia,78.1
Uruguay,77.8
United Arab Emirates,77.8
Oman,77.6
Poland,77.6
Turkey,77.4
Bosnia and Herzegovina,77.3
Slovakia,77.2
Bahrain,77.2
Colombia,77.1
China,77.0
Antigua and Barbuda,76.9
Thailand,76.9
Montenegro,76.8
Sri Lanka,76.8
Ecuador,76.8
Algeria,76.7
Dominica,76.6
Tunisia,76.5
Iran,76.5
Morocco,76.5
Argentina,76.5
Peru,76.5
Saint Lucia,76.1
Malaysia,76.0
Hungary,75.8
Lithuania,75.7
Brunei,75.7
Brazil,75.7
Serbia,75.5
Kuwait,75.4
Romania,75.4
Vietnam,75.3
Honduras,75.1
Mexico,75.0
Saudi Arabia,75.0
Armenia,74.9
Bulgaria,74.9
Latvia,74.7
Belize,74.5
Jordan,74.4
Jamaica,74.4
Mauritius,74.4
Nicaragua,74.3
Belarus,74.2
Guatemala,74.1
Paraguay,74.1
Dominican Republic,73.9
The Bahamas,73.8
Georgia,73.6
Trinidad and Tobago,73.4
Samoa,73.2
Kazakhstan,73.2
El Salvador,73.1
Azerbaijan,72.9
Solomon Islands,72.8
Seychelles,72.8
Cape Verde,72.8
Libya,72.7
Russia,72.7
Grenada,72.4
Saint Vincent and the Grenadines,72.4
Bangladesh,72.3
